epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,38.2955,1.63549,1.95121,2.37504,0.27951,0.66632,0.41898,0.26856,1.55552,1.88151,2.33112,0.0095644,0.0095644,0.0095644
46,39.3638,1.65133,1.90608,2.33054,0.40764,0.83081,0.5046,0.30845,1.38921,2.00433,2.23345,0.0095545,0.0095545,0.0095545
47,40.4924,1.59723,1.84445,2.30984,0.50234,0.61174,0.51513,0.34936,1.39848,6.513,2.21105,0.0095446,0.0095446,0.0095446
48,41.6973,1.55409,1.88765,2.21513,0.41887,0.62058,0.48937,0.3287,1.30842,1.72172,2.15013,0.0095347,0.0095347,0.0095347
49,42.8242,1.58161,1.91829,2.28591,0.05512,0.19823,0.08036,0.05379,1.47767,7.50109,2.29707,0.0095248,0.0095248,0.0095248
50,43.972,1.61609,1.95272,2.28382,0.2305,0.55051,0.26083,0.18197,1.58316,6.24643,2.4338,0.0095149,0.0095149,0.0095149
51,45.0567,1.48327,1.77975,2.16558,0.42977,0.77961,0.48597,0.32563,1.39496,1.85614,2.21767,0.009505,0.009505,0.009505
52,46.2029,1.54386,1.78532,2.22586,0.40816,0.70707,0.54748,0.33791,1.5241,1.84269,2.38598,0.0094951,0.0094951,0.0094951
53,47.3102,1.49188,1.79743,2.22299,0.3568,0.75525,0.50284,0.32793,1.42069,1.93564,2.21602,0.0094852,0.0094852,0.0094852
54,48.3932,1.47131,1.76063,2.15676,0.3695,0.27589,0.35641,0.23409,1.47121,3.15227,2.31876,0.0094753,0.0094753,0.0094753
55,49.7001,1.43978,1.69028,2.17842,0.40979,0.81848,0.58185,0.39003,1.22118,1.61525,2.04399,0.0094654,0.0094654,0.0094654
56,50.819,1.42879,1.75305,2.18815,0.45649,0.86553,0.62837,0.40848,1.32586,1.42308,2.13191,0.0094555,0.0094555,0.0094555
57,51.8143,1.4434,1.71632,2.11992,0.50083,0.74769,0.6529,0.44495,1.20424,1.4981,2.02762,0.0094456,0.0094456,0.0094456
58,52.8967,1.48921,1.71376,2.16462,0.55332,0.75426,0.6237,0.43124,1.23453,1.58927,2.05635,0.0094357,0.0094357,0.0094357
59,54.0245,1.36578,1.61795,2.05956,0.53052,0.77778,0.58932,0.41934,1.12643,1.62296,1.99799,0.0094258,0.0094258,0.0094258
60,55.058,1.47172,1.7552,2.14941,0.50848,0.84303,0.63001,0.42484,1.27252,1.47784,2.07871,0.0094159,0.0094159,0.0094159
61,56.1934,1.41546,1.67228,2.10474,0.55071,0.80805,0.72964,0.50962,1.22693,1.29746,2.00833,0.009406,0.009406,0.009406
62,57.3304,1.34329,1.6619,2.01252,0.59763,0.72096,0.77061,0.57764,1.09217,2.59833,1.8798,0.0093961,0.0093961,0.0093961
63,58.2877,1.32511,1.60845,2.02806,0.589,0.79595,0.73615,0.5208,1.16094,1.32408,1.94333,0.0093862,0.0093862,0.0093862
64,58.9893,1.39715,1.64032,2.03566,0.59426,0.86139,0.70188,0.47086,1.23733,1.85074,2.10095,0.0093763,0.0093763,0.0093763
65,59.8414,1.34349,1.62423,2.05706,0.6074,0.86424,0.70756,0.50228,1.14323,1.32382,1.96932,0.0093664,0.0093664,0.0093664
66,60.5706,1.36838,1.72008,2.00131,0.51518,0.82497,0.64569,0.33736,1.92777,1.55867,2.94567,0.0093565,0.0093565,0.0093565
67,61.2595,1.32973,1.50001,1.96534,0.55608,0.84249,0.7067,0.54761,1.01008,1.27179,1.83639,0.0093466,0.0093466,0.0093466
68,62.0015,1.3785,1.59015,2.01664,0.62547,0.80784,0.68832,0.47138,1.23427,1.36554,1.98608,0.0093367,0.0093367,0.0093367
69,62.6742,1.35765,1.6094,2.02905,0.59458,0.84436,0.76134,0.55918,1.10756,1.21235,1.89243,0.0093268,0.0093268,0.0093268
70,63.3409,1.35604,1.49177,1.97607,0.61302,0.8322,0.80697,0.57551,1.20467,1.27072,2.02296,0.0093169,0.0093169,0.0093169
71,64.0146,1.25699,1.55429,1.95554,0.6561,0.90367,0.80331,0.58547,1.10618,1.03056,1.89823,0.009307,0.009307,0.009307
72,64.7145,1.32926,1.50398,2.03268,0.57827,0.82342,0.70849,0.47411,1.29234,1.45714,2.10666,0.0092971,0.0092971,0.0092971
73,65.358,1.39234,1.57569,2.04829,0.53239,0.83726,0.69536,0.38692,1.71886,2.12361,2.58702,0.0092872,0.0092872,0.0092872
74,66.0276,1.25736,1.46837,1.89611,0.6677,0.89773,0.79349,0.5371,1.21105,1.10244,1.9957,0.0092773,0.0092773,0.0092773
75,66.807,1.28016,1.47766,1.9174,0.64103,0.90278,0.77058,0.5526,1.09408,1.294,1.85775,0.0092674,0.0092674,0.0092674
76,67.4549,1.25681,1.46051,1.95855,0.6598,0.88412,0.75137,0.53944,1.07665,1.17232,1.85344,0.0092575,0.0092575,0.0092575
77,68.0825,1.24831,1.40696,1.95028,0.70443,0.93562,0.78146,0.57502,1.07773,0.98513,1.84409,0.0092476,0.0092476,0.0092476
78,68.727,1.22772,1.39785,1.87651,0.482,0.86486,0.6134,0.44281,1.0772,1.61467,1.8365,0.0092377,0.0092377,0.0092377
79,69.3726,1.25999,1.39616,1.91856,0.65306,0.84533,0.76703,0.54572,1.10706,1.18676,1.90045,0.0092278,0.0092278,0.0092278
80,70.0322,1.27193,1.36763,1.96225,0.73231,0.9592,0.83556,0.61221,1.04535,0.95004,1.79705,0.0092179,0.0092179,0.0092179
81,70.6551,1.3022,1.36331,1.94753,0.56897,0.83349,0.69006,0.48599,1.17563,1.63519,1.96464,0.009208,0.009208,0.009208
82,71.3425,1.21578,1.32419,1.86465,0.57757,0.90909,0.77693,0.57972,1.00474,1.25658,1.77938,0.0091981,0.0091981,0.0091981
83,72.0178,1.20479,1.31608,1.89093,0.68444,0.83735,0.80148,0.56087,1.12742,1.21162,1.87092,0.0091882,0.0091882,0.0091882
84,72.7138,1.26357,1.39159,1.9668,0.62784,0.93785,0.83053,0.58372,1.09155,1.11444,1.86706,0.0091783,0.0091783,0.0091783
85,73.3627,1.153,1.34679,1.79591,0.77757,0.86855,0.83618,0.51683,1.32467,1.13128,2.10046,0.0091684,0.0091684,0.0091684
86,74.17,1.21019,1.3277,1.83833,0.74991,0.69792,0.8169,0.55479,1.16634,1.40566,1.97532,0.0091585,0.0091585,0.0091585
87,74.8356,1.12833,1.33978,1.78012,0.6297,0.91719,0.838,0.58464,1.08788,1.41324,1.86008,0.0091486,0.0091486,0.0091486
88,75.5186,1.20631,1.35053,1.86707,0.74886,0.89854,0.84154,0.58847,1.1239,1.00922,1.86474,0.0091387,0.0091387,0.0091387
89,76.1795,1.18178,1.38004,1.84904,0.61393,0.9143,0.74472,0.54207,1.06597,1.22316,1.84005,0.0091288,0.0091288,0.0091288
90,76.8608,1.15441,1.33493,1.8106,0.71898,0.9327,0.78042,0.46994,1.31918,1.17035,2.19549,0.0091189,0.0091189,0.0091189
